category,name,price,description
starters-amp-snacks,Tully Tots,11.79,"Made from scratch with shredded potatoes, cheddar-jack cheese and Romano cheese all rolled up and deep-fried. Served with a spicy cheese sauce."
starters-amp-snacks,Super Nachos,15.49,"Tortilla chips topped with a mix of spicy beef and refried beans, nacho cheese sauce, olives, pico de gallo, jalapeños, scallions and shredded lettuce. Sour cream and salsa on the side. Add guacamole $2.39"
starters-amp-snacks,Mozzarella Sticks,11.49,Lightly battered and served with our own marinara sauce.
starters-amp-snacks,Louisiana Crab Dip,11.49,"A blend of real and imitation crab meat, homemade and creamy with a little zing! Served with tortilla chips."
starters-amp-snacks,Tully's Habañero Wings,15.69,This is where heat meets flavor! Lightly dusted with flour and tossed in our homemade habañero sauce. Bleu Cheese included.
starters-amp-snacks,Garlic Parm Wings,15.69,Lightly dusted with four then tossed in our homemade garlic Parmesan sauce. Celery and Tully's Ranch dressing included.
starters-amp-snacks,Salt & Pepper Wings,15.29,Tossed in our salt and pepper seasoning. Celery and Bleu Cheese included.
starters-amp-snacks,Tully's Original Wings,15.29,"Lightly dusted with flour. Choose from Tully’s signature sauces: Mild, Medium, Hot, or BBQ. Celery and Bleu Cheese included."
starters-amp-snacks,Tully's Buffalo Wings,15.29,Tossed in homemade Buffalo sauce. Celery and Bleu cheese included.
starters-amp-snacks,Loaded Fries,13.29,"Smothered with melted Jack-cheddar cheese, bacon bits and Tully’s Ranch for dipping."
starters-amp-snacks,Tex-Mex Eggrolls,12.99,"Filled with spicy chicken, corn, black beans, peppers, onions and melted cheese. Served with spicy Cajun sauce, salsa and tortilla chips."
starters-amp-snacks,Chicken Wing Dip,12.59,Our homemade spicy dip topped with melted Jack-cheddar cheese and sour cream. Served with tortilla chips.
starters-amp-snacks,Chicken-N-Cheese,12.19,Tully’s Tenders® and mozzarella sticks with Tully’s Honey Mustard and our own marinara sauce.
starters-amp-snacks,Beef Birria Quesadilla,15.99,"Shredded beef marinated in chipotle adobo with cheddar-jack cheese, tomatoes, jalapeños, black olives, scallions, cilantro and black beans in a flour tortilla. Served with sour cream, shredded lettuce and pico de gallo. Add guacamole $2.39
**Not Available at our Fairmount Location**"
starters-amp-snacks,Veggie Quesadilla,11.99,"A flour tortilla packed with cheese, tomatoes, jalapeños, black olives and scallions. Served with sour cream and pico de gallo.
Add chicken $2.99 | Add guacamole $2.39"
the-best-chicken-tenders-on-earth,10 Tully's Tenders®,19.99,Served with Tully’s Honey Mustard sauce. Sub Buffalo or Asian Tenders add $1.00.
the-best-chicken-tenders-on-earth,Tully's Tenders® Appetizer,13.99,Hand battered chicken tenders served with fries and Tully’s Honey Mustard.
the-best-chicken-tenders-on-earth,Asian Tenders Appetizer,14.39,Tully’s Tenders® tossed in a sweet ‘n spicy Asian sauce. Served with fries and Tully’s Ranch.
the-best-chicken-tenders-on-earth,Buffalo Tenders Appetizer,14.39,Tully’s Tenders® dipped in Buffalo wing sauce. Served with fries and creamy Bleu Cheese.
the-best-chicken-tenders-on-earth,Add 3 Tully’s Tenders®,6.49,Served with Tully's Honey Mustard sauce.
homemade-soups,French Onion Soup,6.89,"Served piping hot with homemade croutons, melted Swiss and mozzarella."
homemade-soups,Homemade Chili,6.89,Thick and hearty. Topped with melted cheddar cheese. Served with tortilla chips.
homemade-soups,Baked Potato Soup,5.99,"Loaded with chunks of Idaho potatoes, celery, bacon bits and Jack-cheddar cheese."
salad-entres,Balsamic Chicken Salad,15.79,"Romaine tossed with Balsamic vinaigrette dressing and tomato bruschetta. Topped with roasted peppers, olives, Romano cheese, grilled chicken and scallions."
salad-entres,Mexican Chopped Salad,15.49,"Southwest grilled chicken, corn, black beans, pico de gallo, cucumbers, guacamole, red onions and Jack-cheddar cheese. Served over iceberg lettuce, tossed with a salsa ranch.
**Not Available at our Fairmount Location**"
salad-entres,Grilled Chicken Caesar Salad,14.99,"Crisp Romaine tossed with Caesar dressing and homemade croutons, topped with grilled chicken."
salad-entres,Tavern Steak Salad,17.99,"Mixed greens tossed with red wine vinaigrette, cucumbers, diced tomatoes, scallions, potatoes and topped with grilled USDA Choice Flat iron steak and crumbly Bleu Cheese."
salad-entres,BBQ Chicken Salad,14.89,"Iceberg lettuce tossed with homemade Tully’s Ranch, black beans, corn, and Jack-cheddar cheese. Topped with scallions, cilantro, diced tomatoes, tortilla chips and BBQ grilled chicken."
salad-entres,Tully's Tenders® Salad,14.99,"Iceberg lettuce with fresh vegetables, black olives, and Jack-cheddar cheese. Topped with Tully’s Tenders®. Sub Buffalo or Asian Tenders $.40"
huge-deli-sandwiches,The Tully,14.99,Shaved turkey and ham lightly grilled and topped with melted white American cheese and bacon with lettuce and tomato on butter toasted deli bread.
huge-deli-sandwiches,The Ultimate BLT,14.99,"Crisp bacon, lettuce, tomato and mayo on country white bread."
huge-deli-sandwiches,New York Grilled Reuben,15.79,"Corned beef, Thousand Island dressing, sauerkraut and melted Swiss on rye."
huge-deli-sandwiches,The Ultimate Grilled Cheese,13.89,"Cheddar, yellow and white American cheeses on country white bread.
Add tomato $1.49 - Add bacon or ham $2.99."
huge-deli-sandwiches,Classic Tuna Melt on Rye,14.99,Grilled with melted Cheddar cheese and sliced tomatoes on Rye.
tullys-favorites,California Fish Taco,15.99,"A crisp tortilla packed with hand breaded haddock, melted cheese, black beans, pico de gallo, scallions, black olives, jalapeños and our spicy homemade dressing. Served with rice and beans. Add guacamole $2.39."
tullys-favorites,Santa Fe Chicken Dinner,16.99,"Two fresh 6oz chicken breast grilled then topped with teriyaki sauce, American cheese, mushrooms, and bacon. Served with coleslaw and choice of side."
tullys-favorites,Seafood Combo,16.99,"Hand breaded shrimp and lightly breaded haddock, served with choice of side, coleslaw and garlic bread."
tullys-favorites,Fish Fry Haddock Dinner,16.49,"Lightly breaded haddock with choice of potato, coleslaw and tartar sauce."
tullys-favorites,Mile High Meatloaf,15.99,"Homemade meatloaf (contains mushrooms) served on top of country mashed potatoes and topped with fresh gravy. Served with coleslaw.
Mashed potatoes available at 4pm (except Sunday, all day)"
tullys-favorites,Surf 'n Turf,19.79,6oz USDA Angus Flat Iron steak served with sautéed shrimp lightly seasoned with Cajun spices and fresh vegetables. (Under 800 calories)
tullys-favorites,Tully's Tenders® Dinner,15.99,Fresh hand battered chicken tenders with fries. Served with Tully’s Honey Mustard and coleslaw.
tullys-favorites,Asian Tenders Dinner,16.69,"Tully’s Tenders dipped in house sweet ‘n spicy Asian sauce. Served with fries, Tully’s Ranch and coleslaw."
tullys-favorites,Buffalo Tenders Dinner,16.69,"Tully’s Tenders dipped in house Buffalo sauce. Served with fries, Bleu Cheese and coleslaw."
sandwich-platters,Bacon Chicken Teriyaki Sandwich,14.49,"An old favorite! Grilled chicken breast topped with teriyaki sauce, American cheese, mushrooms and bacon."
sandwich-platters,Cajun Cheddar Chicken Sandwich,13.99,"Grilled chicken breast seasoned with Cajun spices and topped with cheddar cheese. Served on a toasted roll with lettuce, tomato and Cajun mayo."
sandwich-platters,Blackened Mahi Sandwich,15.69,"Grilled to perfection with diced pickles, lettuce and Cajun mayo."
sandwich-platters,Fish Fry Haddock Sandwich,13.79,"Lightly hand breaded haddock, served with lettuce and a side of tartar sauce."
sandwich-platters,Cheese Steak,14.59,"Sliced sirloin topped with onions, peppers, mushrooms and melted American cheese."
sandwich-platters,Buffalo Chicken,13.99,"Hand battered chicken breast dipped in Buffalo sauce, topped with Bleu Cheese."
sandwich-platters,Ranch Chicken,14.29,"Chicken breast hand battered and lightly fried. Topped with American cheese, lettuce, tomato, bacon and Tully’s Ranch dressing."
burgers,Fiery Jalapeño Cheddar Burger,13.99,"Seasoned with our fiery habañero roasted garlic seasoning and jalapeños right in the burger. Topped with cheddar cheese and Cajun mayo.
**Not Available at our Fairmount Location**"
burgers,American Classic Burger,13.99,"Our fresh steak burger topped with American cheese and freshly sliced white onion with diced pickles, ketchup and mustard. A must try!"
burgers,Basic Burger,12.99,Lettuce and tomato.
burgers,Knife & Fork Cheesy Philly Burger,15.49,"Topped with diced onions, peppers, American cheese and our homemade mac 'n cheese sauce poured all over the bun."
burgers,Cheeseburger,13.59,"Lettuce, tomato and choice of American, cheddar, or Swiss cheese."
burgers,Smokehouse Burger,13.99,"Bacon, cheddar cheese, BBQ sauce and our Cajun mayo topped with fresh, fried onion straws."
burgers,Bacon Cheeseburger,14.79,"Five strips of bacon, American cheese, lettuce, tomato and mayo."
burgers,Mountain Melt Burger,15.89,"Our huge burger packed between our Ultimate Grilled Cheese with lettuce, tomato and mayo."
burgers,Mushroom Swiss Burger,13.79,Sautéed mushrooms and melted Swiss cheese.
burgers,Turkey Burger,13.49,Juicy ground seasoned turkey grilled with lettuce and tomato.
burgers,Garden Burger,13.99,"Meatless burger with pickled red onions, lettuce, tomato, mustard, ketchup and pickles.
**Not Available at our Fairmount Location**"
pastas,Baked Ziti,15.99,"A generous portion of ziti tossed in our own marinara sauce with Romano and mozzarella cheese, then baked."
pastas,Buffalo Mac & Cheese,17.89,"Tender chicken sautéed in buffalo sauce then tossed with ziti pasta and our homemade cheese sauce. Topped with butter crumb topping and melted jack‐cheddar cheese.
"
pastas,Chicken & Broccoli Alfredo,17.29,Tender chicken and broccoli tossed with fettuccine Alfredo.
pastas,Cheesy Chicken & Broccoli Bake,16.99,"Homemade cheddar cheese sauce tossed with tender chicken, ziti and broccoli. Topped with a buttery crumb topping."
pastas,Cajun Chicken Pasta,17.89,"Fresh chicken, mushrooms and ziti tossed in a spicy Alfredo sauce."
pastas,Chicken Parmigiana,16.49,"Chicken breast breaded Italian style, topped with our own marinara sauce, Romano and mozzarella with a side of fettuccine."
rice-bowls,Shrimp Creole,14.99,"A taste of New Orleans! Plump shrimp and our own Creole seasoning sautéed with garlic butter, fresh chopped celery, green peppers, onions, diced tomatoes and a little hot sauce for some kick! Served with seasoned rice."
rice-bowls,Orange Tenders Rice Bowl,14.49,"Tully's Tenders® tossed with broccoli, shredded carrots and our homemade orange citrus sauce. Served over seasoned rice and sprinkled with scallions."
